,rating,reviews,extracted_price,asin,title,link_clean,thumbnail,delivery,scrape_date,display_size,ram,disk_size,operating_system
28,4.2,4101.0,319.99,B0BS4BP8FB,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD | AMD Ryzen 3 7320U Quad-Core | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home",https://www.amazon.com/Aspire-A315-24P-R7VH-Quad-Core-Graphics-Windows/dp/B0BS4BP8FB/,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,8 GB,128 GB,Windows 11 S
29,4.5,72.0,1365.0,B0BZ5XK5DD,"Apple 2023 MacBook Pro with Apple M2 Pro Chip, 16-inch, 16GB RAM, 1TB SSD, Space Gray (Renewed)",https://www.amazon.com/Apple-MacBook-16-inch-English-Renewed/dp/B0BZ5XK5DD/,https://m.media-amazon.com/images/I/61fd2oCrvyL._AC_UY218_.jpg,FREE delivery,2025-08-01,16 inches,16 GB,1 TB,MacOS Ventura
30,3.7,6.0,329.99,B0FDQ775FY,"15.6"" FHD IPS Student-Laptop-Computer - 16GB RAM 512GB SSD, 4 Cores 13th Gen Intel N150(Beat to i3-1115G4, Up to 3.6GHz), 65W GaN Type-C, Fingerprint, Backlit Keyboard, Wi-Fi 6, BT5.2, Numpad",https://www.amazon.com/15-6-FHD-IPS-Student-Laptop-Computer-Fingerprint/dp/B0FDQ775FY/,https://m.media-amazon.com/images/I/7180mJiFb0L._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,16 GB,512 GB,Windows 11
31,4.8,13.0,394.96,B0FD367L86,"HP 2025 Latest 15.6'' FHD Business Laptop, Intel 6 Core i3-1315U (Beat i5-1135G7), 16GB RAM, 512GB PCIe SSD,IPS Display, Ultra Quiet Design, Long Battery Life, Windows 11 Pro, WOWPC Recovery USB",https://www.amazon.com/HP-Business-i3-1315U-i5-1135G7-Recovery/dp/B0FD367L86/,https://m.media-amazon.com/images/I/71f+1AVY1pL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,Info not available,512 GB,Windows 11 Pro
32,4.4,91.0,499.0,B0FHB9VVGM,"HP Laptop Computer 15.6"" FHD for Student Home and Business, Intel 4-Core Processor (Beat i3-1115G4), 32GB DDR4 RAM, 1TB PCIe SSD, WiFi 6E, Bluetooth 5.3, Type-C, HDMI, Windows 11 Pro, BEF-ectoy",https://www.amazon.com/dp/B0FHB9VVGM/,https://m.media-amazon.com/images/I/71eqKQKqsXL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,32 GB,1 TB,Windows 11 Pro
33,5.0,11.0,699.99,B0BCHRQ8PL,"Dell 15.6"" 3530 Laptop Computer for Business & Home Student, Intel 10-Core i5-1334U (Beat i7-1250U), 120Hz FHD Vostro Laptop, WiFi, Bluetooth, Windows 11 Pro (32GB RAM | 1TB PCIe SSD)",https://www.amazon.com/dp/B0BCHRQ8PL/,https://m.media-amazon.com/images/I/81B5lP+3l4L._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,32 GB,1 TB,Windows 11 Pro
34,4.4,70.0,553.04,B0DWPQDLM5,"HP 17.3 inch Laptop, HD+ Display, AMD Ryzen 5 7520U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home, Natural Silver, 17-cp2199nr",https://www.amazon.com/HP-Display-Graphics-Windows-17-cp2199nr/dp/B0DWPQDLM5/,https://m.media-amazon.com/images/I/81ONzzlH0JL._AC_UY218_.jpg,FREE delivery,2025-08-01,17.3 inches,Info not available,512 GB,Windows 11 Home
35,4.4,20.0,399.99,B0DWPKQ3LH,"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 5 7520U, 8 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home, Natural Silver, 15-fc0499nr",https://www.amazon.com/HP-Touchscreen-Display-Graphics-15-fc0499nr/dp/B0DWPKQ3LH/,https://m.media-amazon.com/images/I/81TgGWe4kqL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,Info not available,512 GB,Windows 11 Home
36,4.3,83.0,273.99,B0DR2QCKNR,"15.6"" Laptop Computer, 16GB RAM, 1TB NVMe, 4C4T N95 1.7-3.4GHz, FHD Display, Backlit Keyboard, Fingerprint Reader, Big 8000mAh Battery, Win11 Pro, Upgradable to 10TB Storage, Silver, T152A",https://www.amazon.com/Auusda-Computer-Fingerprint-Upgradable-T152A/dp/B0DR2QCKNR/,https://m.media-amazon.com/images/I/71w25zaulqL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,16 GB,1024 GB,Windows 11 Pro
37,3.8,6.0,189.99,B0F5X3FCMP,"SGIN Laptop 15.6 Inch Laptops Computer, Celeron N4000 Processor, Win 11, 4GB RAM 128GB SSD, BT5.0, HDMI, Webcam, 7000mah Battery, 180° Viewing, 2.4/5G WiFi, USB 3.2, Type-C(Gray)",https://www.amazon.com/SGIN-Laptops-Computer-Celeron-Processor/dp/B0F5X3FCMP/,https://m.media-amazon.com/images/I/71yMV06iESL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,4 GB,128 GB,Windows 11
